id;placed_date;status;code;invoice_id;customer_id
1;2019-10-23T02:53:58;CANCELLED;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-23T07:43:41;PENDING;Frozen Analyst card;redundant;2
3;2019-10-23T03:16:35;COMPLETED;Chips;navigating;3
4;2019-10-22T17:04:24;CANCELLED;Optimized;microchip;4
5;2019-10-22T17:55:55;PENDING;e-markets system;Organic;5
6;2019-10-23T01:13:59;PENDING;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-22T13:14:44;COMPLETED;online e-business;systems integrate;7
8;2019-10-22T18:59:46;PENDING;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-22T19:43:05;COMPLETED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-22T10:42:29;COMPLETED;yellow;Books Generic;10
